dataset,hop,rep,seed,algorithm,query_count,iteration,total_travel_time,initial_total_travel_time,final_total_travel_time
Hop10Rep1-0,10,1,0,random_baseline,1024,0,27030182,27030182,23920760
Hop10Rep1-0,10,1,0,random_baseline,1024,1,24567624,27030182,23920760
Hop10Rep1-0,10,1,0,random_baseline,1024,2,24419790,27030182,23920760
Hop10Rep1-0,10,1,0,random_baseline,1024,3,23941974,27030182,23920760
Hop10Rep1-0,10,1,0,random_baseline,1024,4,23808310,27030182,23920760
Hop10Rep1-0,10,1,0,random_baseline,1024,5,23920760,27030182,23920760
Hop10Rep1-0,10,1,0,selection_td_baseline,1024,0,27030182,27030182,24218096
Hop10Rep1-0,10,1,0,selection_td_baseline,1024,1,25846646,27030182,24218096
Hop10Rep1-0,10,1,0,selection_td_baseline,1024,2,24943171,27030182,24218096
Hop10Rep1-0,10,1,0,selection_td_baseline,1024,3,24507313,27030182,24218096
Hop10Rep1-0,10,1,0,selection_td_baseline,1024,4,24379854,27030182,24218096
Hop10Rep1-0,10,1,0,selection_td_baseline,1024,5,24218096,27030182,24218096
Hop10Rep1-0,10,1,0,normal_selection_gro_reroute,1024,0,27030182,27030182,25089530
Hop10Rep1-0,10,1,0,normal_selection_gro_reroute,1024,1,25756361,27030182,25089530
Hop10Rep1-0,10,1,0,normal_selection_gro_reroute,1024,2,25497515,27030182,25089530
Hop10Rep1-0,10,1,0,normal_selection_gro_reroute,1024,3,25571883,27030182,25089530
Hop10Rep1-0,10,1,0,normal_selection_gro_reroute,1024,4,25530168,27030182,25089530
Hop10Rep1-0,10,1,0,normal_selection_gro_reroute,1024,5,25089530,27030182,25089530
